Dont Look Back,"The film features Joan Baez, Donovan and Alan Price (who had just left the Animals), Dylan's manager Albert Grossman and his road manager Bob Neuwirth.Marianne Faithfull, John Mayall, Ginger Baker, and Allen Ginsberg may also be glimpsed in the background.The film shows a young Dylan: confident if not arrogant, confrontational and contrary, but also charismatic and charming.Notable scenes include: Dylan's romance with Baez had pretty much run its course by the time of the tour, and the film candidly captures what amounts to their breakup.The opening scene of the film also served as a kind of music video for Dylan's song ""Subterranean Homesick Blues"", in which the singer displays and discards a series of cue cards bearing selected words and phrases from the lyrics (including intentional misspellings and puns).Allen Ginsberg makes a cameo appearance during this episode."
Independence Day (1996 film),"On July 2, 1996, an enormous alien mothership that has one fourth the mass of the Moon enters orbit around Earth, deploying 36 smaller spacecraft, each wide, that take positions over some of Earth's major cities and military bases.David Levinson, an MIT-trained satellite technician, decodes a signal embedded in the global satellite transmissions that he determines is a timer counting down to a coordinated attack.With the help of his former wife, White House Communications Director Constance Spano, Levinson, and his father Julius, gain access to the Oval Office and warn President Thomas Whitmore that the aliens are hostile.Whitmore orders large-scale evacuations of New York City, Los Angeles, and WashingtonC, but it is too late; the timer reaches zero and the ships activate devastating directed-energy weapons, killing millions.Whitmore, the Levinsons, and a few others narrowly escape aboard Air Force One as the capital is destroyed, along with other locations over which the ships are positioned.On July 3, international leaders begin ordering individual counterattacks.Their aviation forces attack destroyer ships positioned above the ruins of the cities, but they are protected by force fields.Each destroyer launches a swarm of attack fighters, which wipe out the human fighter squadrons.Captain Steven Hiller, a pilot with the USMC squadron VMFA-314 based out of Marine Corps Air Station El Toro, survives by luring his attacker to the enclosed spaces of the Grand Canyon and sacrificing his plane, forcing the alien to crash-land.He subdues the injured alien pilot and flags down a convoy of refugees, hitching a ride with former combat pilot Russell Casse.They transport the unconscious alien to nearby Area 51 where Whitmore's group has landed.Through Secretary of Defense Albert Nimzicki, they learn that a faction of the government has been involved in a UFO conspiracy since 1947, when one of the invaders' attack fighters crashed in Roswell.Area 51 houses the refurbished alien fighter and three alien corpses recovered from the crash.When eccentric scientist Brackish Okun examines the alien captured by Hiller, it regains consciousness and attacks.It telepathically invades Okun's mind and uses his vocal cords to communicate with Whitmore before launching a psychic attack against him.Whitmore sees visions of the alien's plans: their entire civilization travels from planet to planet, exterminating all indigenous life and harvesting the planet of all natural resources.After Secret Service agents and military personnel kill the alien, Whitmore reluctantly authorizes a nuclear attack; a B-2 Spirit fires a nuclear cruise missile at an alien destroyer positioned above Houston, but the ship remains intact.On July 4, Levinson demonstrates that the key to defeating the aliens lies in deactivating their force fields, and devises a way to do so by uploading a computer virus into the mothership.He proposes using the refurbished alien fighter to implement the plan, which Hiller volunteers to pilot.The two are able to implant the virus and deploy a nuclear weapon on board the mothership.With military pilots in short supply, Whitmore enlists the help of volunteers with flight experience, including Casse, and leads an attack on a destroyer ship bearing down on Area 51.With the alien's shields deactivated, the fighters are able to inflict damage but their supply of missiles is quickly exhausted.As the destroyer prepares to fire on the base, the last missile, equipped on Casse's plane, jams, and Casse decides to sacrifice his own life.He flies his plane kamikaze-style into the directed-energy weapon port, which results in an explosion that destroys the ship.Human resistance forces around the world successfully destroy the other craft using this vulnerability.As humankind is rejoicing in victory, Hiller and Levinson return to Area 51 unharmed and reunite with their families.They and military officers nearby accompany Whitmore and his daughter in watching the wreckage from the mothership burn up, resembling a fireworks display as it enters Earth's atmosphere."
Viva Villa!,"After seeing his poor father lose his land and be whipped to death for protesting, young Pancho Villa stabs one of the killers, then heads off into the hills of Chihuahua, Mexico during the 1880s.As a grown man, Villa and a band of rebel bandits, including his trusted ally Sierra, kill wealthy landowners and become heroes to their fellow ""peons"".A wealthy aristocrat, Don Felipe, arranges an introduction for Villa to the distinguished and eloquent Francisco Madero, who resents what has become of Mexico under the rule of president Porfirio Díaz and persuades Villa to help him fight for liberty, not just for personal gain.The coarse and illiterate Villa is humbled in the presence of Madero and agrees to fight for his cause.He also is attracted to Don Felipe's beautiful sister Teresa, although there are many women in Villa's life, including one he is married to, Rosita.Villa's exploits are made even more colorful by an American newspaper reporter, Johnny Sykes, to whom Villa has taken a great liking.While drunk, Sykes is misinformed and reports that Villa has already overtaken the village of Santa Rosalia in a great victory for his men.Disobeying the orders of Madero and the arrogant General Pascal, simply to help his newspaper friend, Villa stages a raid on Santa Rosalia, as well as on Juarez.Madero ultimately assumes office in Mexico City, then commands Villa to disband his personal army.Villa agrees, but when Sierra kills a bank teller just so Villa can withdraw his money, Villa himself ends up sentenced to death.A gloating General Pascal mocks the way Villa pleads for his life, then reads a telegram from Madero, ordering that Villa instead be exiled from the country.Alone and drunk in El Paso, Texas, feeling forsaken by his homeland, Villa is visited by Sykes, who informs him that Madero has been assassinated by the power-mad Pascal and his men.Villa returns to Mexico and rebuilds his own army, recruiting tens of thousands to ride by his side.Together they storm the capital, where Pascal is subjected to a particularly gruesome death.Villa takes what he wants, but when Teresa resists and he physically assaults her, she draws a gun that her brother Don Felipe has given her for protection.Sierra intervenes and murders her.Villa appoints himself president but is ineffectual, unable to restore Madero's dream of land reform for Mexico's poor.He ultimately agrees to step aside and go back to where he belongs, including to his wife.Before he can, with Sykes by his side, Villa is gunned down by Don Felipe out of revenge for his sister.Sykes vows to keep Villa's memory alive, telling his dying friend that he is no longer news, but history."
Amadeus,"Since the original run, Shaffer has extensively revised his play, including changes to plot details; the following is common to all revisions.At the opening of the tale, Salieri is an old man, having long outlived his fame.Speaking directly to the audience, he claims to have used poison to assassinate Mozart, and promises to explain himself.The action then flashes back to the eighteenth century, at a time when Salieri has not met Mozart in person, but has heard of him and his music.He adores Mozart's compositions, and is thrilled at the chance to meet Mozart in person, during a salon at which some of Mozart's compositions will be played.When he finally does catch sight of Mozart, however, he is deeply disappointed to find that Mozart himself lacks the grace and charm of his compositions: When Salieri first meets him, Mozart is crawling around on his hands and knees, engaging in profane talk with his future bride Constanze Weber.Salieri cannot reconcile Mozart's boorish behaviour with the genius that God has inexplicably bestowed upon him.Indeed, Salieri, who has been a devout Catholic all his life, cannot believe that God would choose Mozart over him for such a gift.Salieri renounces God and vows to do everything in his power to destroy Mozart as a way of getting back at his Creator.Throughout much of the rest of the play, Salieri masquerades as Mozart's ally to his face while doing his utmost to destroy his reputation and any success his compositions may have.On more than one occasion it is only the direct intervention of the Emperor himself that allows Mozart to continue (interventions which Salieri opposes, and then is all too happy to take credit for when Mozart assumes it was he who intervened).Salieri also humiliates Mozart's wife when she comes to Salieri for aid, and smears Mozart's character with the Emperor and the court.A major theme in Amadeus is Mozart's repeated attempts to win over the aristocratic ""public"" with increasingly brilliant compositions, which are always frustrated either by Salieri or by the aristocracy's own inability to appreciate Mozart's genius.The play ends with Salieri attempting suicide with a razor in a last attempt to be remembered, leaving a confession of having murdered Mozart with arsenic.He survives, however, and his confession is met with disbelief, leaving him to wallow once again in mediocrity."
Graph of a function,"f=""List%20of%20graphing%20software"">List of graphing software."
Shane (film),"Shane (Alan Ladd), a skilled, laconic gunfighter with a mysterious past, rides into an isolated valley in the sparsely settled state of Wyoming, some time after the Civil War.At dinner with local rancher Joe Starrett (Van Heflin) and his wife Marian (Jean Arthur), he learns that a war of intimidation is being waged on the valley's settlers.Though they have claimed their land legally under the Homestead Acts, a ruthless cattle baron, Rufus Ryker (Emile Meyer), has hired rogues and henchmen to harass them and drive them out of the valley.Starrett offers Shane a job, and he accepts.At the town's general store, Shane and other homesteaders are loading up supplies.Shane enters the saloon adjacent to the store, where Ryker's men are drinking, and orders a soda pop for the Starretts' son, Joey (Brandon deWilde).Chris Calloway (Ben Johnson), one of Ryker's men, throws a shot of whiskey on Shane's shirt.""Smell like a man."" he taunts.Shane doesn't rise to the bait, and leaves to the taunts of Ryker's men.On the next trip to town, Shane returns the empty soda bottle to the saloon, where Calloway again taunts him.Shane orders two shots of whiskey, pours one on Calloway's shirt and throws the other in his face, then knocks him to the ground.A brawl ensues; Shane prevails, with Starrett's help.Ryker declares that the next time they meet, ""the air will be filled with gun smoke"".Joey is drawn to Shane, and to his gun.Shane shows him how to wear a holster and demonstrates his shooting skills; but Marian interrupts the lesson.Guns, she says, are not going to be a part of her son's life.Shane counters that a gun is a tool, no better nor worse than a hoe or axe, and as good or bad as the man using it.Marian retorts that the valley would be better off without any guns—including Shane's.Jack Wilson (Jack Palance), an unscrupulous gunfighter working for Ryker, deliberately provokes Frank ""Stonewall"" Torrey (Elisha Cook, Jr), a hot-tempered ex-Confederate homesteader.""Them rebs are all Southern trash,"" Wilson says.""You're a low-down, lyin' Yankee,"" responds Torrey.""Prove it,"" Wilson replies—and when the inexperienced farmer goes for his gun, shoots him dead.At Torrey's funeral, there is talk among the settlers of giving in to Ryker and moving on; but after battling a fire set by Ryker's men, they find new determination and resolve to continue the fight.Ryker invites Starrett to a meeting at the saloon to negotiate a settlement—and then orders Wilson to kill him when he arrives.Calloway, unable to tolerate Ryker's treachery any longer, warns Shane of the double-cross.Starrett says no matter, he will shoot it out with Wilson, and asks Shane to look after Marian and Joey if he dies.Shane, aware that Starrett is no match for Wilson in a gunfight, says he must go instead.Starrett is adamant, and Shane is forced to knock him unconscious.A distraught Marian asks Shane why he is doing this.For her, he replies, and her husband and son, and all the other decent people who want a chance to live in peace in the valley.As Shane rides to town, Joey follows him on foot.At the saloon, Shane tells Ryker he cannot prevail, because times have changed; cattle barons and gunfighters are both relics of the Old West.Then he turns to Wilson: ""I hear you're a low-down Yankee liar,"" he says.""Prove it,"" replies Wilson, and draws.Shane beats him to the draw, then shoots Ryker too, as he draws a hidden gun.Before Ryker's brother Morgan, concealed in a balcony overhead, can shoot Shane in the back, Joey shouts a warning, and Shane kills Morgan as well.Shane tells Joey to go home and tell his mother that the settlers have won, that there are no more guns in the valley.As Joey reaches out, blood drips onto his hands; Shane's left arm hangs limply at his side as he mounts his horse.In an iconic closing scene, Shane rides out of town, slumped forward in his saddle, ignoring Joey's desperate cries of ""Shane.Come back.""."
Above the Law (film),"Sergeant Nico Toscani, a native of Palermo, is a detective in the Chicago Police Department’s vice squad.At an early age he became interested in martial arts, and moved to Japan to study.In 1969, Nico was recruited into the CIA by Special Agent Nelson Fox and was involved in covert operations on the Vietnamese-Cambodian border during the Vietnam War.There, he became disgusted with station chief Kurt Zagon, who tortured prisoners.A stand-off occurred when Nico tried to stop a torture session, and he left the CIA.Nico returned to Chicago, joined the CPD, and got married.Nico and his new partner Detective Delores ""Jacks"" Jackson, are now investigating a drug ring, and after busting two of the dealers, including Salvadorian drug dealer Tony Salvano, Nico finds C4 explosives.Shortly afterward, the men that Nico and Jacks arrested are released at the request of Federal officials, and Nico is asked to stand down.Later, the priest of Nico’s parish is killed in an explosion during Mass.Fox calls Nico and tells him to move his family to a safer location, saying that Nico is in danger.Under pressure from the Feds, Nico is asked to turn in his badge.Nico eventually finds that the dealers he busted are linked to Zagon, who is still with the CIA, and who is accused of human rights violations by a Central American priest who was being sheltered by Nico's priest.While Zagon is torturing the priest, Nico bursts in and a gun battle ensues.Detective Lukich and Jacks are wounded during the shoot-out, and Nico has to flee.Senator Ernest Harrison is investigating Zagon's group to reveal their covert operations and drug dealing.When Nico finds out that Zagon killed the priest and is planning to kill Harrison, he goes after Zagon.Nico confronts Fox, but they are interrupted by Zagon's men.Fox is killed and Nico is captured.Nico is held in the kitchen of a hotel during a Harrison campaign rally.Before Zagon can kill Harrison, Nico breaks free and kills Zagon and all of his remaining men.After, Nico meets Sen.Harrison, who has been informed of everything.Harrison promises justice for what they did and Nico says he is now willing to testify on his experiences with Zagon and covert operations in the CIA."
Freaks,"The film opens with a sideshow barker drawing customers to visit the sideshow.A woman looks into a box to view a hidden occupant and screams.The barker explains that the horror in the box was once a beautiful and talented trapeze artist.The central story is of this conniving trapeze artist Cleopatra, who seduces and marries sideshow midget Hans after learning of his large inheritance.Cleopatra conspires with circus strongman Hercules to kill Hans and inherit his wealth.At their wedding reception, Cleopatra begins poisoning Hans' wine.Oblivious, the other ""freaks"" announce that they accept Cleopatra in spite of her being a ""normal"" outsider: they hold an initiation ceremony in which they pass a massive goblet of wine around the table while chanting, ""We accept her, we accept her.One of us, one of us.Gooba-gobble, gooba-gobble"".The ceremony frightens the drunken Cleopatra, who accidentally reveals that she has been having an affair with Hercules.She mocks the freaks, tosses the wine in their faces and drives them away.The humiliated Hans realizes that he has been played for a fool and rejects Cleopatra's attempts to apologize, but then he falls ill from the poison.While bedridden, Hans pretends to apologize to Cleopatra and also pretends to take the poisoned medicine that she is giving him, but he secretly plots with the other freaks to strike back at Cleopatra and Hercules.In the film's climax, the freaks attack the evil pair during a storm, wielding guns, knives and other sharp-edged weapons.Hercules is not seen again (the film's original ending had the freaks castrating him: the audience sees him later singing in falsetto).As for Cleopatra, she has become a grotesque, squawking ""human duck"".The flesh of her hands has been melted and deformed to look like duck feet, her legs have been cut off and what is left of her torso has been permanently tarred and feathered.She is the opening scene's cause for alarm.In a final scene MGM inserted later for a happier ending, Hans is living a millionaire's life in a mansion.Venus and her clown boyfriend Phroso visit, bringing Frieda, to whom Hans had been engaged before meeting Cleopatra.Hans refuses to see them, but they force their way past his servant.Frieda assures Hans that she knows he tried to stop the others from exacting revenge.Phroso and Venus leave as Frieda comforts Hans when he starts to cry.Interspersed between segments of the main narrative are a variety of ""slice of life"" segments detailing the lives of the sideshow performers."
Golden Fleece,"Athamas the Minyan, a founder of Halos in Thessaly but also king of the city of Orchomenus in Boeotia (a region of southeastern Greece), took the goddess Nephele as his first wife.They had two children, the boy Phrixus (whose name means ""curly""—as in ram's fleece) and the girl Helle.Later Athamas became enamored of and married Ino, the daughter of Cadmus.When Nephele left in anger, drought came upon the land.Ino was jealous of her stepchildren and plotted their deaths: in some versions, she persuaded Athamas that sacrificing Phrixus was the only way to end the drought.Nephele, or her spirit, appeared to the children with a winged ram whose fleece was of gold.The ram had been sired by Poseidon in his primitive ram-form upon Theophane, a nymph and the granddaughter of Helios, the sun-god.According to Hyginus, Poseidon carried Theophane to an island where he made her into a ewe, so that he could have his way with her among the flocks.There Theophane's other suitors could not distinguish the ram-god and his consort.Nepheles' children escaped on the yellow ram over the sea, but Helle fell off and drowned in the strait now named after her, the Hellespont.The ram spoke to Phrixus, encouraging him, and took the boy safely to Colchis (modern-day Georgia), on the easternmost shore of the Euxine (Black) Sea.There Phrixus sacrificed the winged ram to Poseidon, essentially returning him to the god.The ram became the constellation Aries.Phrixus settled in the house of Aeetes, son of Helios the sun god.He hung the Golden Fleece preserved from the sacrifice of the ram on an oak in a grove sacred to Ares, the god of war and one of the Twelve Olympians.The golden fleece was defended by bulls with hoofs of brass and breath of fire.It was also guarded by a never sleeping dragon with teeth which could become soldiers when planted in the ground.The dragon was at the foot of the tree on which the fleece was placed.Pindar employed the quest for the Golden Fleece in his Fourth Pythian Ode (written in 462 BC), though the fleece is not in the foreground.When Aeetes challenges Jason to yoke the fire-breathing bulls, the fleece is the prize: ""Let the King do this, the captain of the ship.Let him do this, I say, and have for his own the immortal coverlet, the fleece, glowing with matted skeins of gold"".In later versions of the story, the ram is said to have been the offspring of the sea god Poseidon and Themisto (less often, Nephele or Theophane).The classic telling is the Argonautica of Apollonius of Rhodes, composed in mid-third century BC Alexandria, recasting early sources that have not survived.Another, much less-known Argonautica, using the same body of myth, was composed in Latin by Valerius Flaccus during the time of Vespasian.Where the written sources fail, through accidents of history, sometimes the continuity of a mythic tradition can be found among the vase-painters.The story of the Golden Fleece appeared to have little resonance for Athenians of the Classic age, for only two representations of it on Attic-painted wares of the fifth century have been identified: a krater at the Metropolitan Museum of Art and a kylix in the Vatican collections.In the kylix painted by Douris, ca 480-470, Jason is being disgorged from the mouth of the dragon, a detail that does not fit easily into the literary sources; behind the dragon, the fleece hangs from an apple tree.Jason's helper in the Athenian vase-paintings is not Medea— who had a history in Athens as the opponent of Theseus— but Athena."
Coventry (short story),"The protagonist, David MacKinnon, is a romantic idealist on trial for assault.Since the federal government fears he will repeat his action, he is given a choice: either allow trained psychologists to fix him, or be sent to an area known as Coventry.MacKinnon chooses to emigrate to escape what he sees as the boredom of a too-civilized society.He is sent to the rugged outland beyond the Barrier that separates Coventry from the rest of the world, where people who refuse to abide by social norms are exiled, rather than submit to radical psychotherapy.MacKinnon discovers that the peaceful anarchy he envisioned is in reality a bleak dystopia split into three separate ""countries:"" He is jailed on arrival in New America, losing everything he had brought through the Barrier with him.Befriended by a man David knows only as ""Fader"" Magee, he breaks out of jail.He learns that New America and the Free State are combining forces to attack the outside civilization.He and Fader break out of Coventry separately to warn the country from which he had emigrated of the imminent attack.Back in the world he had left, MacKinnon learns that Fader is actually an agent of the United States Army, and that by risking his life to warn the rest of the country, he has redeemed himself and no longer needs therapy."
Gnuplot,Several third-party programs have graphical user interfaces that can be used to generate graphs using gnuplot as the plotting engine.These include: Other programs that use gnuplot include:.
"Goodbye, Mr. Chips","The novella tells the story of a beloved schoolteacher, Mr Chipping, and his long tenure at Brookfield School, a fictional minor British boys' public boarding school located in the fictional village of Brookfield, in the Fenlands.Mr Chips, as the boys call him, is conventional in his beliefs, and exercises firm discipline in the classroom.His views broaden and his pedagogical manner loosens after he marries Katherine, a young woman whom he meets on holiday in the Lake District.Katherine charms the Brookfield teachers and headmaster and quickly wins the favour of Brookfield's pupils.Despite Chipping's mediocre credentials and his view that Greek and Latin (his academic subjects) are dead languages, he is an effective teacher who becomes highly regarded by students and the school's governors.In his later years, he develops an arch sense of humour that pleases everyone.Although the book is unabashedly sentimental, it also depicts the sweeping social changes that Chips experiences throughout his life: he begins his tenure at Brookfield in September 1870, at the age of 22, as the Franco-Prussian War was breaking out; he dies at the age of 85 in November 1933, shortly after Adolf Hitler's rise to power."
The Man Who Would Be King,"The narrator of the story is a British journalist in 19th Century India - Kipling himself, in all but name.Whilst on a tour of some Indian native states he meets two scruffy adventurers, Daniel Dravot and Peachey Carnehan.Softened by their stories, he agrees to help them in a minor errand, but later he regrets this and informs the authorities about them - preventing them from blackmailing a minor rajah.A few months later the pair appear at his newspaper office in Lahore.They tell him of a plan they have hatched.They declare that after years of trying their hands at all manner of things, they have decided that ""India is not big enough for them"".They plan to go to Kafiristan and set themselves up as kings.Dravot will pass as a native and, armed with twenty Martini-Henry rifles, they plan to find a king or chief to help him defeat enemies.Once that is done, they will take over for themselves.They ask the narrator for the use of books, encyclopedias and maps of the area – as a favour, because they are fellow Freemasons, and because he spoiled their blackmail scheme.They also show him a contract they have drawn up between themselves which swears loyalty between the pair and total abstinence from women and alcohol.Two years later, on a scorching hot summer night, Carnehan creeps into the narrator's office.He is a broken man, a crippled beggar clad in rags and he tells an amazing story.Dravot and Carnehan succeeded in becoming kings: traversing treacherous mountains, finding the Kafirs, mustering an army, taking over villages, and dreaming of building a unified nation and even an empire.The Kafirs (pagans, not Muslims) were impressed by the rifles and Dravot's lack of fear of their idols, and acclaimed him as a god, the reincarnation or descendant of Alexander the Great.They show a whiter complexion than others of the area (""so hairy and white and fair it was just shaking hands with old friends"") implying their ancient lineage to Alexander himself.The Kafirs practised a form of Masonic ritual, and Dravot's reputation was further cemented when he showed knowledge of Masonic secrets that only the oldest priest remembered.Their schemes were dashed, however, when Dravot (against the advice of Carnehan) decided to marry a Kafir girl.Kingship going to his head, he decided he needed a Queen and then royal children.Terrified at marrying a god, the girl bit Dravot when he tried to kiss her during the wedding ceremony.Seeing him bleed, the priests cried that he was ""Neither God nor Devil but a man."" Most of the Kafirs turned against Dravot and Carnehan.A few of his men remained loyal, but the army defected and the two kings were captured.Dravot, wearing his crown, stood on a rope bridge over a gorge while the Kafirs cut the ropes, and he fell to his death.Carnehan was crucified between two pine trees.When he survived this torture for a whole day, the Kafirs considered it a miracle and let him go.He begged his way back to India.As proof of his tale, Carnehan shows the narrator Dravot's head, still wearing the golden crown, which he swears never to sell.Carnehan leaves carrying the head.The next day the narrator sees him crawling along the road in the noon sun, with his hat off and gone mad.The narrator sends him to the local asylum.When he inquires two days later, he learns that Carnehan has died of sunstroke.No belongings were found with him."
Seven Against Thebes,"Seven Against Thebes features little action; instead, the bulk of the play consists of rich dialogues between the citizens of Thebes and their king Eteocles regarding the threat of the hostile army before their gates.Dialogues show aspects of Eteocles' character.There is also a lengthy description of each of the seven captains that lead the Argive army against the seven gates of the city of Thebes as well as the devices on their respective shields.Eteocles, in turn, announces which Theban commanders he will send against each Argive attacker.Finally, the commander of the troops before the seventh gate is revealed to be Polynices, the brother of the king.Then Eteocles remembers and refers to the curse of their father Oedipus.Eteocles resolves to meet and fight his brother in person before the seventh gate and exits.Following a choral ode, a messenger enters, announcing that the attackers have been repelled but that Eteocles and Polynices have killed each other in battle.Their bodies are brought on stage, and the chorus mourns them.Due to the popularity of Sophocles' play Antigone, the ending of Seven against Thebes was rewritten about fifty years after Aeschylus' death.While Aeschylus wrote his play to end with somber mourning for the dead brothers, it now contains an ending that serves as a lead-in of sorts to Sophocles' play: a messenger appears, announcing a prohibition against burying Polynices; his sister Antigone, however, announces her intention to defy this edict.The seven attackers and defenders in the play are:."
Fury (1936 film),"En route to meet his fiancée, Katherine Grant (Sylvia Sidney), gas station owner Joe Wilson (Spencer Tracy) is arrested on flimsy circumstantial evidence for the kidnapping of a child.Gossip soon travels around the small town, growing more distorted through each retelling, until a mob gathers at the jail.When the resolute sheriff (Edward Ellis) refuses to give up his prisoner, the enraged townspeople burn down the building, two of them also throwing dynamite into the flames as they flee the scene.Unknown to anyone else there, the blast frees Wilson, but kills his little dog Rainbow, who had run in to comfort him in the cell.The district attorney (Walter Abel) brings the main perpetrators to trial for murder, but nobody is willing to identify the guilty, and several provide false alibis.The case seems hopeless, but then the prosecutor produces hard evidence: newsreel footage of twenty-two people caught in the act.However, Katherine is troubled by one piece of evidence.The defense attorney had tried to get his clients off by claiming that there was no proof Joe was killed, but an anonymous letter writer had returned a partially melted ring belonging to Joe.Katherine notices that a word is misspelled just as Joe used to spell it.She discovers that Joe escaped the fire and that Joe's brothers are helping him get his revenge by concealing his survival and framing the defendants for his murder.She goes to see Joe and pleads with him to stop the charade, but he is determined to make his would-be killers pay.However, his conscience starts preying on him and, in the end, just as the verdicts are being read, he walks into the courtroom and sets things straight."
The Lives of a Bengal Lancer (film),"On the northwest frontier of India during the British Raj, Scottish Canadian Lieutenant Alan McGregor (Gary Cooper), in charge of newcomers, welcomes two replacements to the 41st Bengal Lancers, Lieutenant John Forsythe (Franchot Tone) and Lieutenant Donald Stone (Richard Cromwell), the son of the unit's commander, Colonel Tom Stone (Guy Standing).Lieutenant Stone volunteered to serve on the Indian front solely in the belief that his father specifically sent for him, while Lieutenant Forsythe, an experienced cavalrymen and somewhat of a teasing character, is simply sent off as a replacement for an officer who recently died.After the formal introduction, Lieutenant Stone realizes his father never actually sent for him during a heated argument, a discovery that breaks his heart.In attempt to show impartiality, the colonel treats his son very coldly, which is misinterpreted and causes frustration and resentment in the young officer.Lieutenant Barrett (Colin Tapley) has been disguised as a native rebel in order to spy on Mohammed Khan (Douglass Dumbrille), and reports that Khan has been preparing an uprising against the British and is planning to intercept and steal a future military transport of two million rounds of ammunition.When Khan discovers the British regiment knows of his plan, he orders his beautiful slave to seduce and then kidnap Lieutenant Stone, in an attempt to extract sensitive information about the ammunition caravan from him.When the colonel refuses to attempt his rescue, McGregor and Forsythe, appalled by the ""lack of concern"" the colonel has for his own son, leave the camp at night without orders.Disguised as common natives trying to sell blankets, they are recognized by the beautiful slave, who has met the two men before at a civil event, and are captured.During a seemingly friendly interrogation, Khan says ""we have ways of making men talk"" and proceeds to have the prisoners tortured; their nails are ripped off and the sensitive skin underneath is burned.While McGregor and Forsythe, despite the agonizing pain, refuse to speak, Stone cracks and reveals what he knows.As a result, the ammunition is captured.After receiving news about the stolen ammunition, Colonel Stone prepares his regiment for battle.From their cell, the captives see the outmatched Bengal Lancers deployed to assault Khan's fortress.They manage to escape and ultimately destroy the ammunition tower, and young Stone redeems himself by killing Khan with a dagger.With their ammunition gone and headquarters in ruins as a result of the battle, the remaining rebels surrender.However, McGregor, who was mainly responsible for the destruction of the ammunition tower, is killed in the assault.To recognize their battlefield bravery and military effort, Forsythe and Lieutenant Stone are awarded the Distinguished Service Order and McGregor posthumously receives the prestigious Victoria Cross, with McGregor's horse awarded the medal on his behalf."
Logic of Empire,"Two well-off Earth men are arguing about whether there is slavery on Venus, and one of them gets shanghaied there—or so he believes; they later find out that they've bet one another about the topic, gotten drunk, and signed on.Upon his arrival, he finds his contract sold to a farmer.His discovery that it will take him years to work off his debt is compounded by his realization that he cannot get to sleep at night without rhira, an expensive local narcotic, thus increasing his debt every day."
Methuselah's Children,"Starting off a grocer, Ira Howard became rich as a sutler wholesaler during the American War of the Secession, but died of old age at 48 or 49 years old.The trustees of his will carried out his wishes to prolong human life, by financially encouraging those with long-lived grandparents to marry each other and have children.By the 22nd century the ""Howard families"" have a life expectancy exceeding 150 years and keep their existence secret with the ""Masquerade"", in which the members fake their deaths and obtain new identities.The Masquerade helped the Families survive the dictatorship of Nehemiah Scudder, but as an experiment some Howard members reveal themselves to The Covenant, hoping that the free society established after Scudder's defeat will be friendly.They are mistaken; others refuse to believe that the Families obtained their lifespan by selective breeding, instead insisting they have developed a secret method to extend life.Administrator Slayton Ford, leader of Earth, believes that the Families are telling the truth, but cannot prevent efforts to force Howard members to reveal their alleged rejuvenatory abilities.Lazarus Long, the eldest member of the Families, proposes that the Families hijack the colony starship New Frontiers to escape Earth.Using an inertialess drive invented by Howard member Andrew Jackson ""Slipstick"" Libby, the Families leave the Solar System with the deposed Ford.The first planet they discover has humanoid inhabitants domesticated by indescribable godlike natives.When Earthly humans prove incapable of similar domestication, they are expelled from the planet.The second planet is a lush environment with no predators and mild weather.Its inhabitants are part of a group mind, with the mental ability to manipulate the environment on the genetic and molecular level, but do not distinguish between individuals.This becomes evident when Mary Sperling, second oldest of the Families, joins the group mind to become immortal.The Families are further horrified when the group mind genetically modifies the first baby born on the planet into a new, alien form.A majority of the Families returns to Earth to demand their freedom; Libby, with the help of the group mind, builds a new faster-than-light drive to take them home in months instead of years.The Families return to the Solar System 74 years after their original departure because of time dilation, and discover that Earth's scientists have artificially extended human lifespan indefinitely, replicating what they believe is the Families' secret.The Howard members are now welcomed for their discovery of travel faster than light.Libby and Long decide to recruit other members of the Families, and explore space with the new drive."
